admin0Name_en,admin0Name_ar,admin0Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin2Name_en,admin2Name_ar,admin2Pcode,admin3Name_en,admin3Name_ar,admin3Pcode,admin4Name_en,admin4Name_ar,admin4Pcode,LocationName_en,LocationName_ar,Location_Pcode,location_type,LastUpdateDate,Latitude_y,Longitude_x,"Hosting individuals, which requires coordination with Quneitra Governorate to reach them (Yes/No)",is Admin1 Capital,is Admin 3 Capital
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Ariha,أريحا,SY0705,Ariha,مركز أريحا,SY070500,Al Kfeer,الكفير,C8380,Al Kfeer,الكفير - مركز أريحا,C8380,Community,18/08/2020,35.839891,36.500225,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Ariha,أريحا,SY0705,Ariha,مركز أريحا,SY070500,Al Maljaa,الملجأ,C8381,Al Maljaa,الملجأ,C8381,Community,18/08/2020,35.776098,36.60276,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Ariha,أريحا,SY0705,Ariha,مركز أريحا,SY070500,Segata,سيغاتا,C8382,Segata,سيغاتا - مركز أريحا,C8382,Community,18/08/2020,35.730155,36.648506,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Ariha,أريحا,SY0705,Mhambal,محمبل,SY070502,Al qonfud,القنفد,C8383,Al qonfud,القنفد,C8383,Community,18/08/2020,35.798922,36.417307,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Ariha,أريحا,SY0705,Mhambal,محمبل,SY070502,Hila Dam,سد حيلا,C8384,Hila Dam,سد حيلا,C8384,Community,18/08/2020,35.852396,36.495533,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,Al Sheakh Ibrahim,الشيخ ابراهيم,C8385,Al Sheakh Ibrahim,الشيخ ابراهيم,C8385,Community,18/08/2020,35.873753,36.393017,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,Al Enabiat,العنابيات,C8386,Al Enabiat,العنابيات,C8386,Community,18/08/2020,35.885312,36.37824,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,Al Marj Al Akhdar,المرج الأخضر,C8387,Al Marj Al Akhdar,المرج الأخضر,C8387,Community,18/08/2020,35.777347,36.30254,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,eyn albarda,عين الباردة,C8388,eyn albarda,عين الباردة - مركز جسر الشغور,C8388,Community,18/08/2020,35.817097,36.338113,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,Mazraet Al Baseel,مزرعة الباسل,C8389,Mazraet Al Baseel,مزرعة الباسل,C8389,Community,18/08/2020,35.792335,36.327519,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,Mazraet al hammam,مزرعة الحمام,C8390,Mazraet al hammam,مزرعة الحمام,C8390,Community,18/08/2020,35.816322,36.412957,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,Mazraet Al Haj Hammoud,مزرعة حاج حمود,C8391,Mazraet Al Haj Hammoud,مزرعة حاج حمود,C8391,Community,18/08/2020,35.838057,36.309845,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,Mazraet Qatroun,مزرعة قطرون,C8392,Mazraet Qatroun,مزرعة قطرون,C8392,Community,18/08/2020,35.830088,36.303625,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,Shekhep,الشغيب,C8393,Shekhep,الشغيب,C8393,Community,18/08/2020,35.847517,36.24203,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Jisr-Ash-Shugur,مركز جسر الشغور,SY070400,Mashta Al Ateq,مشتى العتق,C8394,Mashta Al Ateq,مشتى العتق,C8394,Community,18/08/2020,35.883299,36.364037,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Badama,بداما,SY070401,Badriyeh,البدرية,C8395,Badriyeh (Badama),البدرية,C8395,Community,18/08/2020,35.837082,36.19822,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Badama,بداما,SY070401,al Swedeh,السويدية,C8396,al Swedeh,السويدية - بداما,C8396,Community,18/08/2020,35.7701,36.21983,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Badama,بداما,SY070401,Badama Al Sagheera,بداما صغيرة,C8398,Badama Al Sagheera,بداما صغيرة,C8398,Community,18/08/2020,35.81931,36.21353,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Badama,بداما,SY070401,Bstan Al Harah,بستان الحارة,C8399,Bstan Al Harah,بستان الحارة,C8399,Community,18/08/2020,35.902618,36.184959,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Badama,بداما,SY070401,Ain Al Hour,عين الحور,C8401,Ain Al Hour,عين الحور - بداما,C8401,Community,18/08/2020,35.837726,36.183395,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Badama,بداما,SY070401,Ain Qwaq,عين قواق,C8402,Ain Qwaq,عين قواق,C8402,Community,18/08/2020,35.90826,36.179511,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Badama,بداما,SY070401,Mazraet Bait Soufat,مزرعة بيت صوفات,C8403,Mazraet Bait Soufat,مزرعة بيت صوفات,C8403,Community,18/08/2020,35.915456,36.185674,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Darkosh,دركوش,SY070402,Al Tanareh,التنارية,C8404,Al Tanareh,التنارية,C8404,Community,18/08/2020,35.954548,36.436092,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Darkosh,دركوش,SY070402,Al Dwessat,الدويسات,C8405,Al Dwessat,الدويسات,C8405,Community,18/08/2020,35.988588,36.379175,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Darkosh,دركوش,SY070402,Al Rasem,الرسم,C8406,Al Rasem (Darkosh),الرسم - دركوش,C8406,Community,18/08/2020,35.908053,36.420155,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Darkosh,دركوش,SY070402,Al Msherfeh,المشيرفة,C8407,Al Msherfeh,المشيرفة - دركوش,C8407,Community,18/08/2020,35.929461,36.426959,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Darkosh,دركوش,SY070402,al Mansourah,المنصورة,C8408,al Mansourah,المنصورة - دركوش,C8408,Community,18/08/2020,35.963958,36.42374,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Darkosh,دركوش,SY070402,Tebat Alesm,طيبة الاسم,C8409,Tebat Alesm,طيبة الاسم - دركوش,C8409,Community,18/08/2020,35.921545,36.427147,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Darkosh,دركوش,SY070402,Mearana,معراتة,C8410,Mearana,معراتة - دركوش,C8410,Community,18/08/2020,36.027737,36.418136,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Darkosh,دركوش,SY070402,Magaret al Beda,مغارة البيضا,C8411,Magaret al Beda,مغارة البيضا,C8411,Community,18/08/2020,35.976858,36.427904,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Janudiyeh,الجانودية,SY070403,Al Shaqeh,السحاقية,C8412,Al Shaqeh,السحاقية,C8412,Community,18/08/2020,35.90305,36.3052,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Janudiyeh,الجانودية,SY070403,Said Swoed Upper,سعد سعود فوقاني,C8415,Said Swoed Upper,سعد سعود فوقاني,C8415,Community,18/08/2020,35.951723,36.300823,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Janudiyeh,الجانودية,SY070403,Said Swoed Lower,سعد مسعود تحتاني,C8416,Said Swoed Lower,سعد مسعود تحتاني,C8416,Community,18/08/2020,35.964206,36.312086,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Janudiyeh,الجانودية,SY070403,Mazraet Al Qadereh,مزارع القادرية,C8418,Mazraet Al Qadereh,مزارع القادرية,C8418,Community,18/08/2020,35.892386,36.319132,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Jisr-Ash-Shugur,جسر الشغور,SY0704,Janudiyeh,الجانودية,SY070403,Mazraet Haj Khalil,مزرعة حاج خليل,C8419,Mazraet Haj Khalil,مزرعة حاج خليل,C8419,Community,18/08/2020,35.895996,36.304053,No,No,No
Syrian Arab Republic,الجمهورية العربية السورية,SY,Idleb,إدلب,SY07,Harim,حارم,SY0703,Dana,دانا,SY070301,Al Khaldieh,الخالدية,C8420,Al Khaldieh,الخالدية - دانا,C8420,Community,18/08/2020,36.248176,36.716162,No,No,No
